dataset,model_num,model_name,case_name,target,features,n_features,AIC,BIC,residual_skewness,residual_kurtosis,MAE,MAPE,MSE,RMSE,R2,NMAE,NRMSE,CV_MAE,CV_MAPE,CV_MSE,CV_RMSE,CV_R2,MAPE_pct,NMAE_pct,NRMSE_pct,CV_MAPE_pct
rent,1,M1,Caso 1: Base,precio,"superficie_construida_m2, numero_dormitorios, numero_banos",3,5387.474383282537,5402.9289079849295,2.656949075737615,6.892363720886392,367.97200686401936,0.2677198067560462,397108.8850631691,630.1657599895199,0.10638767017901818,0.30209494327815034,0.5173488362396435,327.1041945574541,0.27283731312887227,265291.54674810194,505.06785990895713,0.06898889643422959,26.771980675604617,30.209494327815033,51.73488362396434,27.283731312887227
rent,2,M2,Caso 1: Base,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos",3,230.85545022466238,246.30997492705475,2.664611159750318,6.889391221424823,340.2386100286406,0.22506809803041317,406246.3868594923,637.3746048121876,0.08582559117225685,0.27932658376272057,0.523267100474916,300.7693443967201,0.23091904359584348,268057.115288627,506.1276439984605,0.0718463282397186,22.506809803041318,27.93265837627206,52.326710047491595,23.091904359584348
rent,3,M3,Caso 1b: Base + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, precio_m2_municipio",4,5286.63094900708,5305.9491048850705,1.8882417418975737,5.435428592664101,310.1414743819359,0.23582365054340687,262213.088914157,512.0674651978555,0.4099430707603968,0.2546176593977593,0.4203933695170941,266.931471540912,0.2177474205532913,201850.5557595244,439.47780174737943,0.28065785717078756,23.582365054340688,25.461765939775933,42.03933695170941,21.77474205532913
rent,4,M4,Caso 1b: Base + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, precio_m2_municipio",4,117.60590898856799,136.92406486655847,1.3861010671175886,6.634515349166756,291.5037705207233,0.206362377171067,285695.85768424935,534.5052457032104,0.35709990229804534,0.23931661479175312,0.4388141730092403,253.46610625005013,0.19438080129192292,205805.90107642775,443.24013303616755,0.27772130168966075,20.636237717106702,23.93166147917531,43.88141730092403,19.438080129192294
rent,5,M5,Caso 2: Base + dummy tipologia,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar",4,5386.628361459176,5405.946517337166,2.606810296086546,6.64433433312859,370.0854556731822,0.2692181113745298,393998.5361016454,627.6930269659249,0.11338687439380524,0.3038300268883589,0.5153187901258884,324.02254587151094,0.27030418736717315,263468.28562686814,502.9974570406399,0.0774296625529114,26.921811137452977,30.38300268883589,51.531879012588846,27.030418736717316
rent,6,M6,Caso 2: Base + dummy tipologia,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar",4,228.82497744427053,248.143133322261,2.6358079250912163,6.758160971896963,340.7657336014698,0.2254625680909678,401763.2783105113,633.8479930634089,0.09591391008422989,0.27975933778439604,0.520371848780933,296.89351855686357,0.22797737503358628,265268.4087228541,502.9283486144166,0.08493256522261575,22.54625680909678,27.975933778439604,52.0371848780933,22.79773750335863
rent,7,M7,Caso 2b: Caso 2 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, precio_m2_municipio",5,5285.785316016578,5308.967103070167,1.9354558449082842,5.369002180000116,307.8097427408815,0.23469041698836998,255782.7514823934,505.74969251833795,0.42441323002923137,0.2527033715587268,0.4152066511155272,265.90807041027676,0.2176580746624857,200448.32130621592,437.7228854138199,0.28612784303134664,23.469041698837,25.27033715587268,41.52066511155272,21.76580746624857
rent,8,M8,Caso 2b: Caso 2 + precio_m2_municipio,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, precio_m2_municipio",5,115.2739421037752,138.45572915736378,1.7076026397506696,6.221628459682901,289.6622418222815,0.20570996626688762,269457.3232326271,519.0927886540393,0.3936414030047952,0.2378047701478032,0.42616096773494105,251.2580227597669,0.1926950813428394,204059.67740107892,440.9352818328284,0.2858327970401432,20.57099662668876,23.78047701478032,42.61609677349411,19.269508134283942
rent,9,M9,Caso 3: Caso 2 + garaje + obra_nueva,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin",6,5388.302262302883,5411.484049356472,2.599437027665216,6.614128249416112,370.1785891654824,0.2701039867312066,392803.1403063068,626.7400899147165,0.11607686815096008,0.30390648693572364,0.5145364548964076,324.3984519152108,0.27026874032661724,265455.19807304145,504.7693806269132,0.07065724542058305,27.010398673120662,30.390648693572363,51.45364548964076,27.026874032661723
rent,10,M10,Caso 3: Caso 2 + garaje + obra_nueva,log(precio),"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin",6,230.22282897857394,253.40461603216252,2.631174315606603,6.74127480131844,340.62624573541535,0.22606038454764424,400589.67152948165,632.9215366295269,0.09855487212093372,0.2796448220652716,0.5196112534132895,297.84274568193183,0.22855960743596757,266872.3076267233,504.4614140770921,0.07806601571482927,22.606038454764423,27.96448220652716,51.96112534132895,22.855960743596757
rent,11,M11,Caso 3b: Caso 3 + precio_m2_municipio,precio,"superficie_construida_m2, numero_dormitorios, numero_banos, dummy_tipologia_unifamiliar, tiene_garaje_bin, obra_nueva_bin, precio_m2_municipio",7,5287.7829682587035,5314.82838648789,1.9332777351563302,5.360671998020898,307.856974460611,0.23469205720469022,255870.50482621643,505.83644078517756,0.42421575907611775,0.25274214750751217,0.41527786906760383,266.54635782132385,0.21816404662102987,201706.78952644014,438.92607419377475,0.28265779810252434,23.46920572046902,25.274214750751216,41.52778690676038,21.816404662102986
